smirks,k_kJ_mol_per_A2,length_A,cluster
[#6X2;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X2;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X3])(~[#7X1])):1]#[#7X1;!r3;!r4;!r5;!r6;!r7;!r8&$([#7X1;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X2])):2],10805.060152252185,1.1523420583666353,5
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8&$([#1X1;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X4])):1]-[#6X4;r5&$([#6X4;r5](~[#1X1])(~[#1X1])(~[#6X4])(~[#8X2])):2],3009.4515855473787,1.0863668702452456,90
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8&$([#1X1;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X4])):1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X4;!r3;!r4;!r5;!r6;!r7;!r8](~[#16X4])(~[#1X1])(~[#1X1])(~[#1X1])):2],3133.599908813277,1.093075167644025,-1
[#6X3;r6&$([#6X3;r6](~[#6X3])(~[#6X3])(~[#6X4])):1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X4;!r3;!r4;!r5;!r6;!r7;!r8](~[#1X1])(~[#1X1])(~[#6X3])(~[#7X3])):2],2308.049032238615,1.4885098739676093,1750
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8&$([#1X1;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X4])):1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X4;!r3;!r4;!r5;!r6;!r7;!r8](~[#16X2])(~[#1X1])(~[#1X1])(~[#6X3])):2],3084.354803919322,1.0932784089345124,-1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8&$([#1X1;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X3])):1]-[#6X3;r6&$([#6X3;r6](~[#1X1])(~[#6X3])(~[#6X4])):2],3243.8454597864584,1.0804142237993106,49
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X3;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X4])(~[#7X3])(~[#8X1])):1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X4;!r3;!r4;!r5;!r6;!r7;!r8](~[#1X1])(~[#1X1])(~[#1X1])(~[#6X3])):2],2243.881624116123,1.5231971259742272,1182
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X3;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X4])(~[#8X1])(~[#8X2])):1]-[#8X2;!r3;!r4;!r5;!r6;!r7;!r8&$([#8X2;!r3;!r4;!r5;!r6;!r7;!r8](~[#1X1])(~[#6X3])):2],3150.77461247814,1.338488931498591,568
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8&$([#1X1;!r3;!r4;!r5;!r6;!r7;!r8](~[#6X4])):1]-[#6X4;r6&$([#6X4;r6](~[#1X1])(~[#6X4])(~[#6X4])(~[#7X3])):2],2967.344736649658,1.093184596698906,-1
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X4;!r3;!r4;!r5;!r6;!r7;!r8](~[#1X1])(~[#1X1])(~[#6X3])(~[#6X4])):1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8&$([#6X4;!r3;!r4;!r5;!r6;!r7;!r8](~[#1X1])(~[#1X1])(~[#6X4])(~[#6X4])):2],2025.8748168703441,1.5102328887275402,-1
