simple_id,param_id,smirks,equilibrium_value
a111,specificity=3 index=78 count=12,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a112,specificity=3 index=79 count=12,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X5;r4:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a113,specificity=3 index=80 count=12,[!#1;r5:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a114,specificity=3 index=81 count=12,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a115,specificity=3 index=82 count=12,[!#1;r5:1]~[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a116,specificity=3 index=83 count=11,[!#1;r3:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a117,specificity=3 index=84 count=11,[!#1;r3:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a118,specificity=3 index=85 count=11,[!#1;r7:1]~[#6X4;r6:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a119,specificity=3 index=86 count=11,[!#1;r4:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a120,specificity=3 index=87 count=11,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2]~[!#1;r5:3],N/A
a121,specificity=3 index=88 count=10,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X4;r6:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a122,specificity=3 index=89 count=10,[!#1;r6:1]~[#6X4;r7:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a123,specificity=3 index=90 count=10,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a124,specificity=3 index=91 count=10,[!#1;r4:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a125,specificity=3 index=92 count=10,[!#1;r5:1]~[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a126,specificity=3 index=93 count=10,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r8:3],N/A
a127,specificity=3 index=94 count=10,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a128,specificity=3 index=95 count=10,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r7:3],N/A
a129,specificity=3 index=96 count=10,[!#1;r6:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
